588	1	820
783	2	738
45	2	123
503	2	578
115	2	364
110	3	480
236	2	293
712	2	341
231	4	23
129	4	156
817	2	501
121	0	85
881	2	838
204	0	390
788	1	876
715	0	716
455	2	532
613	2	365
121	0	194
445	0	654
599	4	110
90	3	89
60	4	63
637	0	325
62	3	21
392	0	204
642	2	133
658	2	358
180	4	788
820	2	261
432	4	60
638	2	118
648	4	6
11	2	350
627	0	583
368	4	369
319	2	825
290	1	598
286	2	730
512	2	728
23	3	443
249	2	647
736	1	256
410	2	880
110	0	282
195	4	192
503	2	820
169	0	110
392	1	105
502	2	314
359	2	709
340	4	8
8	0	882
303	2	582
814	1	902
468	0	511
428	4	58
198	1	422
356	1	523
315	0	121
290	0	577
115	2	600
334	0	332
4	3	11
280	1	338
580	4	573
354	0	577
716	2	546
467	1	350
564	1	198
392	0	354
508	1	653
667	2	460
44	1	884
378	3	107
637	4	609
239	2	80
434	1	766
415	2	942
428	4	431
111	2	520
41	4	386
773	2	891
811	2	195
851	2	437
834	2	907
200	3	195
150	4	155
809	0	4
667	2	144
130	1	293
515	2	483
60	4	44
153	4	416
942	2	706
486	2	626
390	3	392
249	2	444
319	2	716
557	2	726
403	1	892
504	1	415
357	1	546
656	0	640
652	3	454
538	2	666
357	4	353
445	0	24
890	4	784
712	4	755
863	1	346
594	2	64
220	2	889
353	4	724
559	0	90
277	0	644
73	4	4
914	2	808
525	3	6
709	2	689
387	0	388
884	2	342
18	1	716
404	2	131
149	3	12
703	1	524
789	4	107
293	4	62
395	3	348
572	2	794
241	0	557
22	4	95
650	2	404
653	2	828
900	2	744
914	1	243
110	1	550
4	3	527
744	2	186
18	0	24
130	4	77
441	2	515
918	2	360
600	2	115
60	1	476
665	2	188
444	3	8
405	2	78
533	3	110
578	4	159
739	2	341
60	3	117
363	2	594
703	1	417
942	2	878
283	2	865
357	0	182
84	0	73
24	1	289
243	0	626
820	0	4
378	0	348
266	4	857
517	2	212
26	1	263
2	1	704
42	4	40
79	0	468
176	2	720
236	2	501
257	4	833
580	1	58
676	0	120
445	2	638
277	3	279
79	3	41
784	4	884
405	2	451
892	2	262
821	2	64
413	1	503
4	4	636
784	3	204
926	2	661
61	4	62
847	2	614
301	0	22
608	2	340
785	2	364
729	2	439
135	0	426
480	4	642
605	2	112
121	0	757
110	0	41
418	2	149
573	1	322
886	1	344
243	0	58
888	2	243
732	2	217
116	4	117
107	3	615
117	2	558
315	4	731
608	2	341
367	4	369
266	4	79
738	2	731
636	1	334
18	1	866
540	1	256
27	2	702
591	1	289
518	2	583
12	3	62
926	2	721
358	1	849
379	2	934
272	0	273
728	1	584
18	0	135
395	1	939
861	2	716
919	2	921
410	2	838
330	2	544
933	2	117
897	2	795
36	1	102
429	3	8
50	4	532
175	2	513
158	2	542
336	2	539
634	4	919
316	4	22
527	1	944
857	4	697
829	2	750
498	4	159
113	2	861
787	0	199
519	2	615
474	4	77
428	0	430
115	4	502
306	2	457
205	0	32
57	2	413
540	2	684
499	2	735
261	2	491
655	2	725
5	2	785
480	0	521
850	2	472
443	4	446
378	4	302
77	4	40
60	0	577
292	0	203
291	4	115
148	3	142
130	3	8
907	2	256
899	2	803
199	1	425
306	2	401
794	2	211
405	2	243
747	0	150
395	1	314
424	4	637
691	2	817
859	2	904
770	2	357
231	1	10
333	0	335
604	4	6
100	2	317
41	1	551
785	0	555
115	4	110
474	2	574
600	1	64
249	4	638
437	2	8
457	2	676
32	4	208
866	2	928
310	0	706
606	0	79
120	1	27
622	2	256
614	2	782
586	2	775
286	2	408
164	2	466
92	2	768
121	0	12
857	4	634
307	2	21
203	0	110
8	0	257
455	2	587
107	1	692
44	0	51
257	0	470
616	2	217
573	4	575
341	2	746
38	0	8
634	1	684
784	2	691
8	0	301
704	2	885
57	0	640
641	2	102
526	4	412
813	4	136
734	0	182
337	4	123
788	4	468
103	2	183
79	0	499
60	1	201
440	3	6
4	1	359
88	4	159
868	4	6
199	0	32
211	2	347
642	2	523
41	1	873
199	4	257
18	4	624
136	1	59
79	0	39
757	2	780
602	2	714
92	2	623
686	2	899
646	2	839
765	0	90
4	1	150
120	4	8
578	2	686
380	1	933
113	4	169
434	2	467
395	2	67
463	2	821
685	2	483
885	1	814
6	0	91
301	1	180
170	1	940
65	3	62
755	1	817
802	0	18
196	4	198
114	0	293
744	2	927
877	2	921
438	2	482
892	2	910
462	2	455
935	1	25
405	4	403
827	1	6
79	1	661
48	4	36
84	3	58
98	2	733
62	0	495
859	2	401
118	2	112
489	2	757
680	1	683
115	0	813
548	2	693
634	1	440
26	2	50
420	1	368
582	1	565
312	2	928
301	0	814
763	3	395
304	2	489
283	3	110
58	4	18
90	4	506
302	1	244
